Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764066600000,2.1983,2.2053,2.196,2.2024,2033,203344,447450.076,1
1764065700000,2.1949,2.2005,2.1888,2.1988,3046,304636,669402.6395,1
1764064800000,2.1989,2.1999,2.1908,2.1947,1672,167200,367024.6771,1
1764063900000,2.2043,2.2043,2.1923,2.199,2729,272981,600105.804,1
1764063000000,2.1859,2.2066,2.1854,2.2048,3346,334640,735120.2682,1
1764062100000,2.1903,2.1931,2.1846,2.1862,2790,279000,610385.4322,1
1764061200000,2.1894,2.1946,2.1856,2.1903,8179,817948,1792577.145,1
1764060300000,2.2006,2.2026,2.1864,2.1888,8417,841747,1845026.1382,1
1764059400000,2.212,2.2136,2.1976,2.201,4410,441003,971508.0148,1
1764058500000,2.2078,2.217,2.2052,2.2128,3743,374390,827994.2678,1
1764057600000,2.2149,2.2193,2.206,2.2066,5494,549499,1216009.9477,1
1764056700000,2.2351,2.2358,2.2145,2.215,6527,652717,1450845.2112,1
1764055800000,2.2308,2.2374,2.2295,2.2354,2225,222535,497061.5237,1
1764054900000,2.2379,2.2402,2.2272,2.2308,2421,242187,540745.065,1
1764054000000,2.236,2.2416,2.2286,2.2392,5043,504324,1126371.5589,1
1764053100000,2.234,2.2369,2.231,2.2361,4340,434076,969990.4407,1
1764052200000,2.2388,2.2439,2.2339,2.2355,5036,503659,1127470.145,1
1764051300000,2.247,2.2503,2.2388,2.2388,4181,418192,937880.7383,1
1764050400000,2.2495,2.2519,2.2453,2.248,1425,142522,320544.129,1
1764049500000,2.2525,2.2574,2.2484,2.2495,2041,204157,459991.7737,1
1764048600000,2.2408,2.2542,2.2408,2.2513,1652,165250,371780.0067,1
1764047700000,2.2425,2.2485,2.2384,2.2406,1922,192243,431418.659,1
1764046800000,2.2455,2.2491,2.2387,2.2423,1166,116623,261547.0359,1
1764045900000,2.236,2.249,2.236,2.245,3319,331900,745466.7923,1
1764045000000,2.2364,2.2425,2.2356,2.2363,4717,471745,1055548.2214,1
1764044100000,2.2475,2.2477,2.2327,2.2364,5851,585133,1310234.2569,1
1764043200000,2.2415,2.2486,2.2364,2.248,6822,682294,1528678.7564,1
1764042300000,2.2401,2.2434,2.2341,2.2422,1904,190458,426538.5338,1
1764041400000,2.2529,2.2529,2.2371,2.2401,2752,275266,617770.5916,1
